epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,4403.63,1.13491,0.71569,1.09548,0.65967,0.52016,0.55754,0.33118,1.48586,0.90985,1.13232,0.00193486,0.00193486,0.00193486
88,4449.87,1.10663,0.70165,1.1004,0.6608,0.54013,0.56695,0.34073,1.48043,0.89926,1.12488,0.00183523,0.00183523,0.00183523
89,4496.34,1.10417,0.69373,1.09232,0.68101,0.5366,0.57156,0.34321,1.48336,0.89179,1.13374,0.0017378,0.0017378,0.0017378
90,4542.99,1.11701,0.6929,1.09732,0.64554,0.54999,0.57108,0.34329,1.4814,0.88871,1.12909,0.00164264,0.00164264,0.00164264
91,4590.11,1.11765,0.69266,1.09894,0.68384,0.53486,0.57651,0.34739,1.47475,0.89448,1.12549,0.00154982,0.00154982,0.00154982
92,4641.26,1.10599,0.68668,1.08926,0.69093,0.54147,0.58675,0.35124,1.47743,0.88289,1.12622,0.0014594,0.0014594,0.0014594
93,4687.66,1.08879,0.66988,1.08986,0.69381,0.53713,0.57308,0.34353,1.47722,0.88683,1.12323,0.00137143,0.00137143,0.00137143
94,4738.98,1.09726,0.67493,1.08783,0.64827,0.55894,0.57958,0.35339,1.47175,0.87661,1.12509,0.00128599,0.00128599,0.00128599
95,4790.62,1.11815,0.68648,1.0895,0.66764,0.55251,0.58441,0.35197,1.47104,0.88241,1.12684,0.00120313,0.00120313,0.00120313
96,4837.09,1.11369,0.6787,1.08556,0.62986,0.54884,0.57512,0.34503,1.47814,0.87863,1.1226,0.0011229,0.0011229,0.0011229
97,4883.71,1.09506,0.67973,1.07728,0.73018,0.51949,0.58044,0.35211,1.4721,0.88949,1.11726,0.00104537,0.00104537,0.00104537
98,4930.16,1.09179,0.66116,1.07194,0.66747,0.55102,0.5795,0.353,1.46773,0.88787,1.11704,0.000970575,0.000970575,0.000970575
99,4976.92,1.07678,0.6484,1.08841,0.69094,0.54288,0.58178,0.35145,1.47121,0.88201,1.12218,0.000898581,0.000898581,0.000898581
100,5023.43,1.08752,0.65791,1.07012,0.65825,0.55127,0.57831,0.34783,1.47428,0.87876,1.12554,0.000829431,0.000829431,0.000829431
101,5070.09,1.07686,0.65711,1.07859,0.67747,0.56043,0.59375,0.36025,1.47004,0.87605,1.12264,0.000763174,0.000763174,0.000763174
102,5119.4,1.07341,0.65361,1.08221,0.66852,0.55676,0.58552,0.35581,1.47377,0.88646,1.12426,0.000699855,0.000699855,0.000699855
103,5165.96,1.0748,0.65019,1.07736,0.6732,0.55864,0.58912,0.3542,1.45981,0.87245,1.12079,0.000639518,0.000639518,0.000639518
104,5212.52,1.06222,0.64751,1.06952,0.72471,0.54983,0.59899,0.3617,1.4573,0.86549,1.11985,0.000582203,0.000582203,0.000582203
105,5264.39,1.09208,0.65801,1.07324,0.70164,0.55864,0.59148,0.35759,1.46401,0.86635,1.12166,0.00052795,0.00052795,0.00052795
106,5335.99,1.05023,0.59054,1.10854,0.68143,0.55683,0.58432,0.35299,1.47887,0.88727,1.12673,0.000476796,0.000476796,0.000476796
107,5535.34,1.03689,0.59003,1.09988,0.73345,0.52384,0.58424,0.35042,1.47607,0.88686,1.12317,0.000428777,0.000428777,0.000428777
108,5587.47,1.03318,0.58068,1.09918,0.67658,0.55191,0.58556,0.35373,1.46899,0.88212,1.11878,0.000383925,0.000383925,0.000383925
